Batch Size per GPU: 1
Total trianing steps: 69600
TR, GPU ID : 1, ST: 17, BN: 17, loss : 1.7197500467300415, lr : 8.999999999999999e-05
TR, GPU ID : 6, ST: 17, BN: 17, loss : 2.17844557762146, lr : 8.999999999999999e-05
TR, GPU ID : 0, ST: 17, BN: 17, loss : 1.9849871397018433, lr : 8.999999999999999e-05
TR, GPU ID : 4, ST: 18, BN: 18, loss : 3.101243734359741, lr : 9.5e-05
TR, GPU ID : 5, ST: 18, BN: 18, loss : 3.4191246032714844, lr : 9.5e-05
TR, GPU ID : 6, ST: 18, BN: 18, loss : 1.8363887071609497, lr : 9.5e-05
TR, GPU ID : 7, ST: 18, BN: 18, loss : 2.10654354095459, lr : 9.5e-05
TR, GPU ID : 1, ST: 18, BN: 18, loss : 2.4970004558563232, lr : 9.5e-05
TR, GPU ID : 3, ST: 18, BN: 18, loss : 2.437323570251465, lr : 9.5e-05
TR, GPU ID : 0, ST: 18, BN: 18, loss : 1.347005844116211, lr : 9.5e-05
TR, GPU ID : 2, ST: 18, BN: 18, loss : 3.7053277492523193, lr : 9.5e-05
TR, GPU ID : 4, ST: 19, BN: 19, loss : 1.3953962326049805, lr : 0.0001
TR, GPU ID : 5, ST: 19, BN: 19, loss : 2.2813620567321777, lr : 0.0001
TR, GPU ID : 3, ST: 19, BN: 19, loss : 2.1099579334259033, lr : 0.0001
TR, GPU ID : 6, ST: 19, BN: 19, loss : 1.9980111122131348, lr : 0.0001
TR, GPU ID : 7, ST: 19, BN: 19, loss : 1.7103039026260376, lr : 0.0001
TR, GPU ID : 1, ST: 19, BN: 19, loss : 3.4299116134643555, lr : 0.0001
TR, GPU ID : 2, ST: 19, BN: 19, loss : 1.9877601861953735, lr : 0.0001
TR, GPU ID : 0, ST: 19, BN: 19, loss : 2.2303712368011475, lr : 0.0001
TR, GPU ID : 4, ST: 20, BN: 20, loss : 3.553095579147339, lr : 0.000105
TR, GPU ID : 5, ST: 20, BN: 20, loss : 3.871100664138794, lr : 0.000105
TR, GPU ID : 7, ST: 20, BN: 20, loss : 3.315641164779663, lr : 0.000105
TR, GPU ID : 3, ST: 20, BN: 20, loss : 2.6735751628875732, lr : 0.000105
TR, GPU ID : 2, ST: 20, BN: 20, loss : 1.639531135559082, lr : 0.000105
TR, GPU ID : 1, ST: 20, BN: 20, loss : 2.304734945297241, lr : 0.000105
TR, GPU ID : 6, ST: 20, BN: 20, loss : 2.3252480030059814, lr : 0.000105
TR, GPU ID : 0, ST: 20, BN: 20, loss : 1.9072989225387573, lr : 0.000105
TR, GPU ID : 4, ST: 21, BN: 21, loss : 2.372066020965576, lr : 0.00010999999999999999
TR, GPU ID : 7, ST: 21, BN: 21, loss : 1.412767767906189, lr : 0.00010999999999999999
TR, GPU ID : 1, ST: 21, BN: 21, loss : 3.1672353744506836, lr : 0.00010999999999999999
TR, GPU ID : 2, ST: 21, BN: 21, loss : 2.9885528087615967, lr : 0.00010999999999999999
TR, GPU ID : 5, ST: 21, BN: 21, loss : 1.6581653356552124, lr : 0.00010999999999999999
TR, GPU ID : 6, ST: 21, BN: 21, loss : 2.1685707569122314, lr : 0.00010999999999999999
TR, GPU ID : 3, ST: 21, BN: 21, loss : 1.6017097234725952, lr : 0.00010999999999999999
TR, GPU ID : 0, ST: 21, BN: 21, loss : 2.030261278152466, lr : 0.00010999999999999999
TR, GPU ID : 4, ST: 22, BN: 22, loss : 3.7203617095947266, lr : 0.000115
TR, GPU ID : 6, ST: 22, BN: 22, loss : 2.6119439601898193, lr : 0.000115
TR, GPU ID : 2, ST: 22, BN: 22, loss : 1.953612208366394, lr : 0.000115
TR, GPU ID : 5, ST: 22, BN: 22, loss : 2.1593263149261475, lr : 0.000115
TR, GPU ID : 1, ST: 22, BN: 22, loss : 2.645678997039795, lr : 0.000115
TR, GPU ID : 3, ST: 22, BN: 22, loss : 1.6697248220443726, lr : 0.000115
TR, GPU ID : 7, ST: 22, BN: 22, loss : 2.4064178466796875, lr : 0.000115
TR, GPU ID : 0, ST: 22, BN: 22, loss : 2.404752254486084, lr : 0.000115
TR, GPU ID : 4, ST: 23, BN: 23, loss : 1.6353673934936523, lr : 0.00012
TR, GPU ID : 5, ST: 23, BN: 23, loss : 1.4128957986831665, lr : 0.00012
TR, GPU ID : 3, ST: 23, BN: 23, loss : 1.8020366430282593, lr : 0.00012
TR, GPU ID : 6, ST: 23, BN: 23, loss : 2.5471136569976807, lr : 0.00012
TR, GPU ID : 7, ST: 23, BN: 23, loss : 2.168402910232544, lr : 0.00012
TR, GPU ID : 0, ST: 23, BN: 23, loss : 1.4178295135498047, lr : 0.00012
TR, GPU ID : 1, ST: 23, BN: 23, loss : 2.0439155101776123, lr : 0.00012
TR, GPU ID : 2, ST: 23, BN: 23, loss : 1.6060676574707031, lr : 0.00012
TR, GPU ID : 7, ST: 24, BN: 24, loss : 3.0916221141815186, lr : 0.000125
TR, GPU ID : 4, ST: 24, BN: 24, loss : 2.4930999279022217, lr : 0.000125
TR, GPU ID : 0, ST: 24, BN: 24, loss : 1.6438926458358765, lr : 0.000125
TR, GPU ID : 1, ST: 24, BN: 24, loss : 1.223161220550537, lr : 0.000125
TR, GPU ID : 2, ST: 24, BN: 24, loss : 1.8601608276367188, lr : 0.000125
TR, GPU ID : 5, ST: 24, BN: 24, loss : 2.1405584812164307, lr : 0.000125
TR, GPU ID : 6, ST: 24, BN: 24, loss : 1.597504734992981, lr : 0.000125
TR, GPU ID : 3, ST: 24, BN: 24, loss : 1.5932965278625488, lr : 0.000125
TR, GPU ID : 7, ST: 25, BN: 25, loss : 1.7703391313552856, lr : 0.00013
TR, GPU ID : 0, ST: 25, BN: 25, loss : 1.3461980819702148, lr : 0.00013
TR, GPU ID : 1, ST: 25, BN: 25, loss : 4.434510707855225, lr : 0.00013
TR, GPU ID : 5, ST: 25, BN: 25, loss : 2.1282742023468018, lr : 0.00013
TR, GPU ID : 3, ST: 25, BN: 25, loss : 1.184565544128418, lr : 0.00013
TR, GPU ID : 4, ST: 25, BN: 25, loss : 2.1259758472442627, lr : 0.00013
TR, GPU ID : 6, ST: 25, BN: 25, loss : 1.6712878942489624, lr : 0.00013
TR, GPU ID : 2, ST: 25, BN: 25, loss : 1.7817751169204712, lr : 0.00013
TR, GPU ID : 7, ST: 26, BN: 26, loss : 2.1382954120635986, lr : 0.000135
TR, GPU ID : 5, ST: 26, BN: 26, loss : 1.6711684465408325, lr : 0.000135
TR, GPU ID : 4, ST: 26, BN: 26, loss : 2.5670721530914307, lr : 0.000135
TR, GPU ID : 6, ST: 26, BN: 26, loss : 2.6395199298858643, lr : 0.000135
TR, GPU ID : 1, ST: 26, BN: 26, loss : 2.775590181350708, lr : 0.000135
TR, GPU ID : 3, ST: 26, BN: 26, loss : 1.181404709815979, lr : 0.000135
TR, GPU ID : 0, ST: 26, BN: 26, loss : 1.8447203636169434, lr : 0.000135
TR, GPU ID : 2, ST: 26, BN: 26, loss : 1.5174760818481445, lr : 0.000135
TR, GPU ID : 4, ST: 27, BN: 27, loss : 2.8887157440185547, lr : 0.00014000000000000001
TR, GPU ID : 5, ST: 27, BN: 27, loss : 2.658214569091797, lr : 0.00014000000000000001
TR, GPU ID : 7, ST: 27, BN: 27, loss : 1.1742334365844727, lr : 0.00014000000000000001
TR, GPU ID : 3, ST: 27, BN: 27, loss : 2.249767541885376, lr : 0.00014000000000000001
